FilePath,Text,single_label,probabilities
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0001.ogg,……だめぇぇぇぇっっっ！！,aegi,"aegi: 55.37%, usual: 44.56%, chupa: 0.07%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0002.ogg,はぁ……,usual,"usual: 51.92%, aegi: 48.06%, chupa: 0.02%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0003.ogg,……もし……ご親切な御方……もし……,usual,"usual: 99.95%, aegi: 0.05%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0004.ogg,だいじょうぶ、ですかぁ？,usual,"usual: 81.35%, aegi: 18.65%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0005.ogg,気を失ってしまわれたわ……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0006.ogg,あぁ、こんなに冷たくなって……低体温症になっているわ……お助けしようと気が急くあまり、力の加減ができずにこんなことに……どうしましょう、ふぶき……,usual,"usual: 99.96%, aegi: 0.04%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0007.ogg,くぅ～んじゃないでしょう！見ているだけってあれほど言ったのに、貴方が勝手にいなくなるから……！,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0008.ogg,まあふぶきったら……何て品格に欠ける表情……,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0009.ogg,もしかして……まさか、貴方、わざと……？,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0010.ogg,な、な、な……何故そんなことをっ！？わ、私はっ……この御方を、遠くから推しているだけで満足だったのよっ……,usual,"usual: 99.24%, aegi: 0.76%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0011.ogg,な、何よ……私が、嘘をついているとでも……？わ、私が、本当はこの御方に近づきたがっているって言いたいのっ！？,usual,"usual: 99.98%, aegi: 0.02%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0012.ogg,た、確かに、自制しているつもりでも、この御方のそばにいると……胸が、ドキドキして、じっとしていられないような気持ちになる……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0013.ogg,そ、それは……私が大人になって……は、発情期を、迎えたから……,usual,"usual: 99.55%, aegi: 0.45%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0014.ogg,や、やめてぇっ……そんな目で私を見ないでぇっ……！,usual,"usual: 53.70%, aegi: 46.30%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0015.ogg,そ、それよりっ……このままだと凍死してしまうわ。この御方を小屋まで運んで差し上げないと……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0016.ogg,まあ、貴方の命の恩人じゃないの！大体全部貴方のせいでしょう！文句を言わずに、そっちを持ちなさい,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0017.ogg,もう、貴方、足一本しか持てないの？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0018.ogg,ほら頑張って……よいしょ、よいしょ,usual,"usual: 64.04%, aegi: 35.96%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0019.ogg,もし……うなされているのですね、もし……,usual,"usual: 99.84%, aegi: 0.16%, chupa: 0.00%"
