full_filepath,transcript,similarity_score
D:\dataset\ac6cb1706c5b228aa00cf337cb72cd49.mp3,はあ、はあ、んっ、おちんちん、硬いの…すごく、感じちゃう…んっ、あぁっ、んぁっ、くっ、うぅっ,0.6666666666666666
D:\dataset\c23ea59af8ba8937794860efdd84a026.ogg,はぁぁんっ！やぁっ、ぁあっ！あああっ！い、いくぅ！いっちゃうぅぅぅ！！,0.5074626865671642
D:\dataset\94b8bf13bc4e10f1105868c1ec63b0a6.mp3,…手！あ、あんたともはぐれたら大変でしょ？それに…それにほら、足だって痛いし！,0.7560975609756098
D:\dataset\02e0b78997417be20796a59eff6c2190.mp3,ぬぅ～…。,0.3529411764705882
D:\dataset\6d4be2965d16abc2f77d9619760a143e.m4a,じゃあねみんな！しっかり手柄を立てて、帰ってくるよ！,0.7843137254901961
D:\dataset\9f555d31aa4df307733338684d188a16.mp3,やっ…あっ…はぁっ…んん…団長殿、いったい、なにをして…ひゃっ…！,0.696969696969697
D:\dataset\04c1aa46430cb6b63b2a7a7d67b47a5a.ogg,はあ、ふうっ、はあ…これでお仕置きは終わりですか…？オチンチンを見てしまって、すみませんでした…,0.7608695652173914
D:\dataset\e27c9ec07d607894c1c9a50d6ed2092d.m4a,えへへへ～～。嬉しいですぅ…,0.6
D:\dataset\1ecbe95027614ee293deb72d5c4bdc49.mp3,あぁ…んっ、ちゅ…れろ…！この小さい穴から…騎士くんの…濃い味がするの…！,0.6753246753246753
D:\dataset\97830da9a9d02e977d6aa9fd5169b877.ogg,有利？何言ってるのさ。確率は２分の１。何も変わってないさ,0.7931034482758621
D:\dataset\54aa0b86294d73c211cebaefcd78f3ce.mp3,ダメ、ダメ、なのぉ…っまだ、足りない、私だけじゃ、足りないのぉ！団長さん、もっと…もっとぉっ,0.7872340425531915
D:\dataset\416db1f911592a5d2e30be8496a037e0.m4a,それじゃ…いくからね…。ん…。ん、く…っ,0.5714285714285714
D:\dataset\364d7bb462dd278dcc737abfa0431786.m4a,あ、あぐうっ！？い、いやぁっ、いぎぃ…あ、や、やめてっ…お願い、まず１回抜いてっ…そんな無理にしたら壊れちゃうよっ…,0.6548672566371682
D:\dataset\c62cef7c761feccae638b37065a4a025.m4a,あ、あぁうっ…？な、なかって…！？だ、だめぇっ！それは、だめっ、ちゃ、ちゃんとそれは、断るからねっ、だめだよっ,0.7627118644067796
D:\dataset\b4d9da70d472ae4a04f42045f6b675e6.ogg,あ、あ、はぁ…！,0.3333333333333333
D:\dataset\5e0ff6a9748088aca6f1dfc265ea4802.mp3,掻き回して、ひっかいて、押し込んで…わっ、私の、そこ…そんな念入りに、チェックして…ひゃっ！？やっ、あ…んんぅ！？,0.7894736842105263
D:\dataset\112f8c25085d16f985f0e183bc5327ed.opus,…コウテイ…ヘイカ…バンザイ…,0.5185185185185185
D:\dataset\6554ea78f0bb3034071c7fe848cd0c2b.m4a,あ、ついの…奥に、当たってるぅ…。はふ…やぁん、これ、きもちよくて、また…,0.6933333333333334
D:\dataset\0d95bf453341030b3835e31cb02254fa.ogg,あっ、あっあっ、ああ…あっ、あんっ…ンっ、くふぅううぅうううううぅぅぅぅぅぅゥゥ――…ッッ！！,0.4269662921348314
D:\dataset\653d934571be7e73c6e36ab352337d4e.ogg,んぐぅっ、おっ、んぉぉっっ！やめっ、なひゃっ…んくっ、あんっっ！,0.6774193548387096
D:\dataset\198c81471c211fc6a4850d0973225d18.ogg,オレの…ナカっ！かたい、のっ！こすれ、あっぁ！こすれてる…っ!!,0.6388888888888888
D:\dataset\2792d19e9dda020a40ad12c98e60efd5.mp3,ひぁっ…！そんな、急に…！,0.8
D:\dataset\ece0cfff1a4b8952d9acf1ad91ad02e4.ogg,あぁ、アウローラ様…なんて、お美しい…,0.7777777777777778
D:\dataset\8b08a2c784dd58a552c1fde24e26d404.mp3,くっ…ううっ、んっ、あふっ…ふぅ、んんっ、んんんっ…くっ、うっ、ううっ、くっ…はぁはぁ、あふっ…きゃっ！,0.5773195876288659
D:\dataset\04b4e72f29383855c88f00070ef17e59.mp3,い、いや…。それは流石に受け取れないよ。,0.7692307692307693
D:\dataset\af7ba4a112c67e8a3c0670dfe02f4fd6.mp3,ふっ、うふふふっ…オクの中にいるもう一人のオクもねっ、気持ちいいよお～だって。ふふふっ、うれしいねっ…。,0.7708333333333334
D:\dataset\f8c65b57c76b051dae6a8888ceb67c6f.m4a,ま…待って…！あぁっ…あっ…ああああぁぁーーーーーーっっ！！,0.5555555555555556
D:\dataset\52fc371042503c3952d3320e4493f124.mp3,はい、データの観測はあたしにばっちり任せてください♪,0.6538461538461539
D:\dataset\de0d2ec2a926ff1756e1df1f8c5a3041.m4a,はうっ、あっ…はっ、あっ、あぁあっ…にんげんさんのっ、あついのっ…ドクドクってぇ、きてるぅぅうっ…！,0.2912621359223301
D:\dataset\157db87422217f22dbfb4971357d8eab.ogg,へへへっ！！射精っ、気持ちいいよぉ～～～～！！止まらないっ射精がっ、止まらないのぉ～～～～！！,0.5977011494252874
D:\dataset\8b2ed1f9e471150fae8d4a0b836a8bfc.m4a,くははは！愉快愉快♥安心せよと言うておるじゃろう？♥,0.6153846153846154
D:\dataset\2faf06497c8ea1216c71f52cdaca3fef.m4a,いいけど…なんか嫌な予感するわね,0.054054054054054
D:\dataset\1aebd128998ead07fdf3192b2fdb8d27.mp3,ああぁぁ…団長さんの、んんぅぅ…！私のなかに…んんぅぅぅ、は、はいってくるですぅ…！おっきいの…んんぅぅ、わ、わかるですぅ…！,0.7768595041322314
D:\dataset\66d76fc5bc9389eaa004a399a0b25aae.mp3,で、でも…ん、び、びっくり、するくらい、き、気持ち良かった、よ…えっちって、すごいん、だね…。,0.7676767676767676
D:\dataset\54320b9a986653a1a336e327b2eecf99.ogg,ほぉっっっ！んひっっ、ア゛ア゛ア゛ア゛っっ！気持ちいいっっ！,0.1891891891891892
D:\dataset\0233938c33d2ffe6a21d65d3cff25407.opus,よっ、現場監督！絶好調ですね！,0.7586206896551724
D:\dataset\c910fcba367f8cd5876fe0f39f67aab5.m4a,んふうああっ、も、もうきちゃうっ、んんっ、イッちゃいそうっ…！,0.676056338028169
D:\dataset\072d0a2b1020939003ba2687ae06fbfe.ogg,な、なんて破廉恥な…！貴方たちは一体なにを見ていますの…ッ！？,0.625
D:\dataset\ccda88505e87b5e533df856c466393a5.mp3,――ひっ、あああぁぁぁぁぁぁ…っ♡,0.75
D:\dataset\9ccc16d9632c19bcf3ad08ada5493f62.m4a,はあっ…はあ…はぁ…ふぁぁ…きもち…よかったぁ…はあ、はあ…は…はぁぁぁ…,0.5573770491803278
